Group ID,Plant Type,Height,QY (Dark),QY (Light)
H,Basil,6.5,0.81,0.73
H,Basil,8.25,0.82,0.75
H,Basil,5.5,0.82,0.76
H,Basil,7.5,0.81,0.76
H,Tomato,4,0.81,0.77
H,Tomato,5.5,0.83,0.78
H,Tomato,5,0.82,0.77
H,Tomato,5.5,0.81,0.76
P,Basil,8.25,0.76,0.45
P,Basil,6,0.77,0.52
P,Basil,4.25,0.72,0.5
P,Basil,7.5,0.77,0.66
P,Tomato,5,0.7,0.36
P,Tomato,4,0.38,0.23
P,Tomato,4,0.78,0.58
P,Tomato,5,0.77,0.49
G,Basil,5.75,0.8,0.61
G,Basil,13,0.79,0.78
G,Basil,4.75,0.8,0.54
G,Basil,4.5,0.73,0.43
G,Tomato,5,0.79,0.61
G,Tomato,4,0.8,0.66
G,Tomato,5,0.81,0.59
G,Tomato,5,0.81,0.53
D,Basil,5.75,0.69,0.45
D,Basil,9.25,0.78,0.61
D,Basil,7.75,0.76,0.67
D,Basil,7.5,0.67,0.46
D,Tomato,6,0.75,0.6
D,Tomato,4.25,0.8,0.6
D,Tomato,6.5,0.76,0.6
D,Tomato,5,0.67,0.6
