Group ID,Plant Type,Height,QY (Dark),QY (Light)
H,Basil,5.5,0.7,0.41
H,Basil,6,0.77,0.39
H,Basil,5,0.76,0.45
H,Basil,6.5,0.78,0.43
H,Tomato,4,0.7,0.38
H,Tomato,6,0.77,0.47
H,Tomato,5.5,0.71,0.46
H,Tomato,5.5,0.78,0.53
P,Basil,6.5,0.79,0.54
P,Basil,5,0.75,0.52
P,Basil,3.5,0.77,0.49
P,Basil,6,0.77,0.44
P,Tomato,5,0.77,0.49
P,Tomato,5,0.59,0.3
P,Tomato,4,0.81,0.53
P,Tomato,5.5,0.77,0.45
G,Basil,4.5,0.77,0.41
G,Basil,10,0.66,0.54
G,Basil,5.5,0.63,0.4
G,Basil,5,0.67,0.48
G,Tomato,6.5,0.7,0.5
G,Tomato,4,0.69,0.42
G,Tomato,5.5,0.77,0.53
G,Tomato,5.5,0.77,0.49
D,Basil,4.5,0.64,0.38
D,Basil,7.5,0.78,0.54
D,Basil,5.5,0.75,0.4
D,Basil,6,0.72,0.38
D,Tomato,6,0.72,0.49
D,Tomato,4,0.69,0.51
D,Tomato,5.5,0.68,0.48
D,Tomato,5,0.69,0.42
