Group ID,Plant Type,Height,QY (Dark),QY (Light)
H,Basil,7.5,0.81,0.75
H,Basil,11,0.82,0.74
H,Basil,6.5,0.81,0.75
H,Basil,9,0.81,0.75
H,Tomato,4.5,0.83,0.76
H,Tomato,6.5,0.82,0.77
H,Tomato,6,0.82,0.77
H,Tomato,6,0.82,0.77
P,Basil,10.5,0.79,0.5
P,Basil,7,0.8,0.48
P,Basil,5.5,0.81,0.48
P,Basil,10.5,0.79,0.47
P,Tomato,6,0.79,0.46
P,Tomato,4.5,0.28,0.17
P,Tomato,3.5,0.83,0.59
P,Tomato,5.5,0.83,0.52
G,Basil,7,0.79,0.65
G,Basil,16.5,0.81,0.74
G,Basil,6,0.78,0.66
G,Basil,5,0.81,0.66
G,Tomato,5.5,0.81,0.7
G,Tomato,4.5,0.83,0.69
G,Tomato,6,0.82,0.69
G,Tomato,5,0.82,0.69
D,Basil,7,0.79,0.63
D,Basil,11,0.8,0.72
D,Basil,9.5,0.81,0.64
D,Basil,9,0.8,0.58
D,Tomato,7,0.82,0.68
D,Tomato,5,0.83,0.7
D,Tomato,6.5,0.82,0.71
D,Tomato,4.5,0.83,0.68
